,latitude,longitude
2022-05-18 09:00:40,77.838038,-8.740859
2022-05-18 09:30:28,77.837323,-8.74374
2022-05-18 10:00:38,77.836712,-8.747604
2022-05-18 10:30:38,77.836253,-8.752239
2022-05-18 11:00:38,77.835959,-8.757399
2022-05-18 11:30:39,77.835833,-8.762675
2022-05-18 12:00:37,77.835861,-8.768043
2022-05-18 12:30:27,77.835976,-8.773188
2022-05-18 13:00:38,77.836229,-8.778047
2022-05-18 13:30:38,77.836578,-8.782069
2022-05-18 14:00:38,77.836995,-8.785166
2022-05-18 14:30:40,77.837419,-8.787395
2022-05-18 15:00:39,77.837825,-8.788794
